date,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2024-02-28,77645,6477,84305,38394,71202,93049,90021,21978,87788,4853,790,256,2861,3114,7552,7033,7276,1129,7595,4489,652,476,788,67,96,37,17
2024-02-29,39648,89254,83310,67194,17553,16513,90168,81966,67408,22446,2546,1126,7889,3202,8654,2727,2819,4960,8883,8030,429,531,92,28,92,23,99
2024-03-01,71961,83331,77826,34607,42063,15142,67205,32829,72584,4871,7471,1023,796,5943,6600,3416,2788,2153,6425,3770,386,92,940,21,23,65,46
2024-03-02,77433,74982,86227,74919,78519,65124,47963,10766,16187,87960,9494,1898,3887,7871,791,6933,328,3582,1207,8431,741,53,377,93,95,6,91
2024-03-03,17632,94774,16188,17377,4817,77472,39263,2216,51663,23400,4505,3347,3003,7595,5793,1299,3483,9811,6264,8486,695,8,399,40,14,44,37
2024-03-04,58535,12691,638,31420,57770,73871,9120,81336,55270,35872,7247,3943,1366,8508,4707,3421,6900,7216,1233,6993,264,316,608,42,62,65,51
2024-03-05,87122,64388,51684,45089,15702,11869,95889,95412,35845,75289,3651,7848,102,9621,1951,8583,29,9692,278,9912,300,105,83,75,26,18,99
2024-03-06,32939,48545,20648,62946,62598,61910,93128,18943,96213,41342,5481,8716,3949,656,5841,9192,3950,6709,1625,9048,974,10,130,25,45,77,96
2024-03-07,3047,58941,47442,56737,55967,75948,24885,7736,2093,56900,7490,152,5300,7005,8175,5037,6867,7425,8500,7138,385,939,306,33,86,49,82
2024-03-08,71307,20243,17094,60989,31527,92382,96787,36794,48482,77297,5626,6650,211,7778,1022,8863,9869,7124,5225,1665,11,87,756,52,14,44,43
2024-03-09,97041,66285,61339,3320,97684,81378,67753,20613,13219,64710,5334,1854,9868,8120,7819,2869,7366,5797,7110,6682,110,477,78,86,29,28,10
2024-03-10,98352,69888,7390,71903,65258,30308,67847,24138,66905,28830,7379,8073,8480,8743,8680,868,855,7163,2615,5429,906,799,400,57,88,64,26
2024-03-11,68333,15214,41437,19271,81367,5175,83589,47586,69646,7575,7285,1688,9707,9289,140,6399,9619,3239,3428,9131,438,211,465,99,79,10,72
2024-03-12,212,2044,54494,32692,37525,42210,18702,87251,33797,1356,3464,3362,1268,3795,6389,7534,7475,291,4719,1601,593,102,749,76,92,64,78
2024-03-13,91753,54579,90984,68978,89663,79417,27577,20491,134,75715,7980,7928,8166,1878,7965,9154,7803,5279,9350,3131,472,53,360,43,74,60,49
2024-03-14,69169,64118,47084,42711,63859,14728,77445,27949,64742,81409,9407,4489,999,1759,4014,9727,1414,9057,2299,3594,630,802,403,3,64,94,72
2024-03-15,12334,51885,94341,78676,86372,36161,53081,61157,25254,83626,9449,7299,9594,3832,35,6600,7679,9485,8125,7951,784,939,809,91,2,59,66
2024-03-16,5667,42692,26834,13884,41197,48183,30209,40650,38977,31619,6327,7526,8813,8004,83,3362,9225,6115,7179,7774,970,842,546,49,58,26,20
2024-03-17,39399,50264,5861,93264,27209,38005,89679,63829,34307,28483,4711,8630,7059,6601,8554,583,657,3523,3494,1252,639,625,190,2,50,20,30
2024-03-18,78723,5913,42978,47997,12779,25923,66649,28808,79008,51224,4813,1627,6276,4906,6495,7729,2690,7389,9423,1047,902,463,762,82,29,25,53
2024-03-19,15636,19173,85681,79930,13044,44402,18216,83995,78186,87187,6448,8599,4783,1398,6959,9932,2256,7373,4400,6765,996,855,572,33,44,22,51
2024-03-20,35144,48573,21404,25165,28375,9425,17538,21595,56954,36845,2361,7750,2414,2861,8305,7081,7715,2463,729,3143,271,623,926,87,23,54,37
2024-03-21,81866,15018,97738,52425,46984,39393,23620,45649,7779,32333,6001,7698,5879,5739,2820,426,8268,4363,6007,2889,843,426,191,87,13,52,56
2024-03-22,95371,7286,23998,54295,30927,81184,68459,29360,97671,18598,3721,6102,6363,6756,7582,1471,1256,7423,3322,6997,840,527,579,21,91,3,69
2024-03-23,59882,35161,80009,90230,27850,78279,76809,32621,30855,65708,4114,7900,301,473,6540,7127,8212,9532,2160,6720,460,122,532,85,51,42,16
2024-03-24,88274,6693,53350,57784,4071,89897,75341,98348,75312,33461,9003,5952,115,9805,3069,2189,5874,3454,1490,7942,935,713,633,29,9,32,39
2024-03-25,16342,75754,28913,37346,86642,45535,81914,94696,52321,96022,8692,8838,9702,1399,7019,7237,7661,9492,5860,770,425,940,549,39,42,11,77
2024-03-26,59619,57086,96937,20940,23515,63359,89273,67580,12104,65171,6781,8492,2432,942,4059,1308,7139,7578,4915,1820,728,921,919,82,17,99,7
2024-03-27,20645,21356,10211,33955,57214,47997,59028,91075,81886,34229,7518,6879,1586,7174,4802,1007,6479,7659,8416,7869,187,87,674,84,38,18,25
2024-03-28,49879,61196,55813,26560,66628,39458,53044,66883,94985,4961,689,1252,7970,1626,4095,9503,8586,7026,3491,4985,800,15,450,7,82,98,90
2024-03-29,37869,1431,7900,66341,81079,95627,76989,10547,37486,34353,4618,5541,1854,752,4990,2029,5211,9779,7249,7896,717,867,363,5,67,87,62
2024-03-30,62135,21141,45857,86656,70417,47299,17041,28867,87844,3831,7920,9023,7131,8460,3372,5765,633,8326,3811,4220,752,57,840,96,94,29,9
2024-03-31,36909,46217,56679,32203,29726,90557,54987,59727,68447,57932,5581,4902,3035,7503,2059,7871,4346,991,7274,7688,183,311,228,69,90,28,81
2024-04-01,19052,64293,66910,37980,3154,5297,37583,24357,50612,56159,1490,6212,7679,2105,4438,2763,4042,1066,7302,1099,559,345,633,9,93,6,38
2024-04-02,62909,9387,23902,6705,5649,11928,85591,77857,24772,73380,1057,4955,1981,8866,8906,2314,248,6777,3183,8562,262,654,29,65,86,54,35
2024-04-03,67364,5538,43309,50971,42539,81311,58310,75139,27406,83349,1179,2067,4473,517,3595,881,7332,8196,3209,2509,732,624,838,93,94,15,22
2024-04-04,69389,34052,48091,95190,28642,87265,12540,99128,22291,24399,6903,4457,3278,6776,4578,6228,5858,611,4540,7296,788,31,386,1,42,65,89
2024-04-05,72666,96992,52918,21197,21034,45765,73219,29010,2370,6089,372,6291,4099,369,7007,315,6233,7010,2611,6123,270,306,325,5,13,49,19
2024-04-06,312,44708,88283,64571,91798,21146,5250,9523,92549,73943,1449,2399,7871,7371,5848,3389,9405,8301,7420,2661,142,732,198,21,59,95,3
2024-04-07,93374,18300,59549,37037,74266,7569,23624,78397,6513,35761,1734,8632,757,2118,7324,2369,6427,8196,1825,4339,185,275,44,65,17,72,50
2024-04-08,30147,37755,61413,89550,20904,51761,51163,31983,91022,78447,5498,3294,6720,2059,4679,615,6473,3807,2132,360,567,190,316,15,61,5,32
2024-04-09,16510,57524,46210,99866,59326,97595,41257,2724,969,52074,760,1668,3313,3684,6299,7898,4768,6210,3355,4816,717,130,568,69,62,27,41
2024-04-10,14138,62724,54157,96213,14362,89770,55669,50544,4462,48939,4062,5079,6608,7155,7402,1236,4922,4421,2178,9253,552,247,722,12,45,75,97
2024-04-11,69356,22552,35140,15293,35010,28133,33342,65578,74436,57981,4851,2761,8993,3587,6909,2693,2363,1750,3328,7628,753,388,635,73,80,42,86
2024-04-12,12073,92837,28622,2259,53010,14391,79427,13247,76972,60599,6594,5821,6858,2983,993,5483,8027,6916,5213,4770,850,36,185,27,83,16,80
2024-04-13,90649,71212,55720,56680,64761,94392,9089,57015,6920,83467,1452,5230,5083,2320,4090,8241,310,6378,1575,3896,756,690,503,58,28,35,64
2024-04-14,71396,20801,73470,83615,59318,54657,90221,19494,20418,77848,2581,6371,8850,1300,309,2342,1961,6616,5569,5870,496,635,489,52,22,89,90
2024-04-15,99369,13829,59861,27481,65303,77704,89049,50013,34525,33222,3926,546,2651,3393,937,3884,1948,1679,9105,2079,334,673,600,54,33,98,29
2024-04-16,96850,66671,51310,74053,36642,19172,58381,14433,62816,92024,4787,8217,7761,665,8452,869,3282,710,4804,7663,366,886,216,12,51,91,18
2024-04-17,90289,19874,24789,50177,84160,84250,66154,14306,3341,85969,3241,9829,9103,6240,5674,7671,218,3300,5133,6434,317,228,892,47,40,90,27
2024-04-18,62904,16351,92109,84405,50215,82326,54744,81157,60946,93661,7880,3573,916,9336,9443,9241,5284,9798,4277,7296,591,346,154,69,52,95,37
2024-04-19,26592,38838,43774,91819,8758,63771,15724,91314,86959,47543,1370,7010,5792,5856,9957,5245,8757,2019,4132,6316,222,106,949,71,26,85,23
2024-04-20,29379,29822,24933,27395,63254,65829,39579,26917,20063,91422,9186,1763,9385,1320,5451,3289,892,4290,1448,7357,899,689,390,5,60,99,33
2024-04-21,19980,85986,47577,69280,98092,25825,81059,57932,33830,71715,5543,1384,6975,5836,2326,4322,703,7162,4509,470,191,392,571,11,59,91,39
2024-04-22,15525,29914,83400,68369,96522,74106,84523,66484,76563,65685,7662,3493,5151,9395,6856,6643,1321,4108,2153,6831,369,495,636,82,93,79,37
2024-04-23,12681,26928,84568,79326,60597,77441,98277,62191,30322,97918,5890,9394,6338,8901,4916,9771,1007,2806,5292,8652,815,466,192,33,16,8,17
2024-04-24,69952,12165,74557,28269,17544,31458,29961,71554,18326,20760,6441,9828,9610,1054,3082,9422,4364,8493,2653,5224,382,567,101,82,60,50,47
2024-04-25,36594,90713,48830,35403,24376,63350,49922,46764,82390,56362,777,9136,6698,2988,7581,7323,4178,9700,7530,1657,95,465,777,8,62,71,60
2024-04-26,57620,82135,88910,47085,31718,65482,84174,34977,84592,37002,6912,2359,7064,9067,230,3557,4878,4292,3179,3749,551,477,460,19,93,77,37
2024-04-27,25842,31827,51849,73421,8418,64960,34316,24391,16970,95866,9943,8648,2356,6102,1611,8897,8947,2599,7671,9757,380,430,919,93,89,25,35
2024-04-28,37696,21957,22046,36692,64560,66075,18325,29166,9527,99349,8645,6772,3361,2640,4773,5555,6771,6035,9625,1386,601,374,875,79,73,2,95
2024-04-29,15877,86391,81274,81676,90575,32048,64302,41745,95540,13428,1937,2689,1242,1612,8518,804,5532,3564,2859,5321,460,330,803,8,61,3,82
2024-04-30,44624,5886,75181,44812,9211,39887,51882,98592,13100,35623,3810,5366,3352,3783,9442,7335,4865,8702,9454,153,64,111,819,47,59,54,28
2024-05-01,72031,10292,46130,26589,90676,42039,96046,5589,71405,98943,7618,6107,6935,4766,2832,7333,5398,2863,9727,6282,476,452,577,95,61,60,97
2024-05-02,27567,98924,51863,96125,32394,64549,84234,20036,87618,89421,7865,6190,9540,9899,1929,1291,3732,4499,501,23,237,365,872,39,63,74,20
2024-05-03,64857,31913,20095,44000,92069,67021,52931,48277,11046,89999,1085,3878,8682,2686,5611,78,5218,2300,4982,1733,245,377,183,57,98,89,43
2024-05-04,90869,86258,96303,1790,13869,54572,71317,12810,47525,3020,761,4562,7833,419,6674,2830,5075,6867,477,9992,950,395,845,12,28,32,55
2024-05-05,80183,7373,48867,30896,17520,86768,30554,76145,87183,83127,7227,6852,1236,9205,5395,1882,5795,5573,3815,478,889,493,30,67,22,52,63
2024-05-06,87661,22441,18944,47884,62669,61032,64782,29258,675,55196,6456,6301,711,9193,5000,1334,5056,5124,3581,8603,322,497,371,45,32,98,67
2024-05-07,12317,81118,75679,55486,53640,11641,98550,51697,35757,58353,4876,8039,6393,9366,1073,9098,6376,6149,3473,458,4,560,330,28,17,1,22
2024-05-08,56095,97809,58525,99356,37066,79058,17319,80729,82947,25743,3094,2057,5210,6852,3379,9322,9426,1998,7384,9935,963,856,373,7,22,24,10
2024-05-09,60325,15349,32360,62341,75210,62356,51398,75745,57573,85987,1468,8155,2344,3177,4101,1314,6459,5476,3361,9112,358,53,489,34,30,62,71
2024-05-10,78736,18262,50955,32467,23671,36298,5252,86570,16030,92419,9864,2396,4270,9528,3814,6159,4915,6569,5975,3971,157,788,615,61,25,40,81
2024-05-11,98076,10832,34069,56100,99345,21382,23746,71599,25382,85169,930,1587,9302,2080,506,4079,4286,6281,9650,6402,526,321,995,64,52,0,77
2024-05-12,54105,6147,74859,97508,73957,99482,89320,24590,26706,66538,7963,9465,76,7088,5862,9352,691,2480,1519,4340,751,430,989,75,33,21,97
2024-05-13,84396,64440,12844,84462,39690,88306,54902,80590,37165,66935,3100,7913,8862,4260,8127,9549,6572,7683,7337,1419,7,667,359,63,62,20,26
2024-05-14,16880,28703,39525,63916,15096,8691,26638,16518,93526,28481,8610,7148,858,1031,1597,2914,5213,4645,6661,9199,934,848,328,66,63,45,65
2024-05-15,6926,62025,1409,55964,6652,8021,58498,38040,60194,51612,9231,5633,3688,2553,1388,2016,7652,8917,9212,7390,336,470,610,89,29,30,72
2024-05-16,61034,71290,62348,50106,88442,20468,98125,52900,60651,31992,2338,9068,9944,8906,2052,1282,6872,1395,3593,8574,165,824,844,30,92,9,25
2024-05-17,51468,36545,25740,88471,71270,59190,24080,2738,14554,91467,1610,7280,1449,3711,1990,2823,4099,1531,662,6554,811,467,195,45,41,62,32
2024-05-18,91322,34422,54587,91207,65370,28969,87605,86304,25261,47953,8722,3565,3622,9776,9794,6034,3664,4804,5847,1109,439,382,725,17,18,19,80
2024-05-19,14478,8543,83125,92133,92796,76639,97895,59002,3268,78862,77,1962,4824,8339,9892,6035,5510,5769,1348,4280,198,786,996,68,85,5,96
2024-05-20,5966,60275,72725,90891,56652,91186,16367,64845,9049,6322,220,6622,9353,452,9510,9372,3898,4781,9369,2390,695,561,208,24,50,89,52
2024-05-21,55200,18539,69018,79701,77775,27106,44932,69463,49358,74462,6188,9885,3428,9737,1245,1061,4589,309,8867,2047,832,502,909,79,73,50,87
2024-05-22,39397,45487,31476,40,47830,45608,32162,70312,68143,75822,668,1475,4436,5595,1774,6655,7678,7745,1426,4108,126,617,344,6,61,62,64
2024-05-23,13182,64473,58976,80232,65555,53210,45207,14837,11304,47605,1946,6656,2147,6690,2484,5860,7889,6268,2267,8394,272,701,862,51,87,41,60
2024-05-24,70098,97488,81877,42410,78164,41219,93046,13510,18781,3112,1380,5811,1579,9803,4821,3430,6260,1609,5871,9504,65,714,870,82,60,2,22
2024-05-25,9743,80957,58795,38612,30165,99475,59693,26647,80994,67715,7348,3723,9468,7032,1192,3750,3229,4263,1412,7585,192,342,319,43,55,10,23
2024-05-26,53398,12478,14385,6275,50369,7115,73615,52752,37780,90972,1340,3208,3152,1799,5570,7834,5867,5173,2969,1012,288,878,459,61,92,8,33
2024-05-27,72578,3162,29946,49185,10694,39375,83675,96521,94508,49856,5521,7559,698,8712,1793,4900,1219,2541,475,3049,322,63,620,40,7,32,52
2024-05-28,47490,72043,9830,29003,30879,15157,62025,16755,23357,5880,8291,6953,9981,1132,811,341,2380,4935,4914,8694,232,937,880,63,29,75,12
