date,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2024-05-30,98932,74989,63943,68861,14371,59962,35608,24625,99816,3229,5752,1244,3526,3796,9831,9248,3552,9192,2768,1230,512,138,128,12,84,68,32
2024-05-31,6102,1933,5985,82337,66092,9778,31470,86344,51339,93810,6817,115,8527,9928,8786,2182,3849,8794,2860,3424,109,70,92,35,72,90,4
2024-06-01,12612,12229,52445,78001,35540,84186,27880,36730,86783,11313,4189,8855,7970,2800,8482,7801,1359,6659,5441,4180,19,239,877,70,49,68,19
2024-06-02,27070,2994,36292,52317,7937,14608,10458,6213,58868,17285,6972,5496,2027,66,9438,1307,9291,6736,777,712,0,718,703,99,90,48,11
2024-06-03,35024,46369,76603,27648,55510,32786,54609,39479,29714,6833,7020,8676,3089,5912,9288,277,3980,8641,4689,7198,225,813,825,78,48,45,15
2024-06-04,86127,95915,86841,37274,10829,19458,85562,7521,85701,70057,1080,3809,6267,5179,5260,6110,9746,1518,6504,4996,942,278,257,15,82,18,55
2024-06-05,97856,25539,65648,89467,65378,77106,8335,31708,65245,27153,4181,6295,4516,3382,5830,821,8066,4292,3189,3421,31,966,620,68,29,44,32
2024-06-06,66688,12104,71206,88217,42266,44663,12063,2816,5016,55725,4250,4823,6110,8859,4556,5041,7581,7507,4539,8341,320,47,190,28,7,14,10
2024-06-07,4651,66342,3912,51761,53484,76450,6690,80944,64525,99819,3903,9166,9459,7593,3043,440,4161,7333,9126,8586,47,611,685,32,96,57,1
2024-06-08,63333,6115,3604,47710,20814,12887,90480,76129,5409,67246,8973,2636,4015,3549,2605,8619,1376,6464,7730,5679,140,887,883,24,89,58,66
2024-06-09,29226,12081,4978,89159,75765,8766,58006,28080,9244,62832,7153,6944,3278,3322,120,9418,9965,9898,9701,1674,166,197,692,22,53,84,19
2024-06-10,44465,74590,42780,45659,29196,34304,14475,53724,61637,14983,2658,7187,9374,8323,6582,9,4547,5429,5950,984,646,461,869,33,6,76,92
2024-06-11,17409,34794,2491,77554,5150,77600,92021,42931,73344,40793,6405,9973,3742,9996,2522,7755,3264,2637,9215,7973,460,970,823,7,53,52,14
2024-06-12,86255,11249,87129,59903,95365,98371,70344,83998,20757,20659,2837,7870,1969,4974,1254,9846,925,356,8262,2283,675,532,661,54,64,15,84
2024-06-13,29826,13498,63321,15802,27738,56163,93997,37190,12592,30960,7699,2850,6191,4221,718,9433,5262,1981,5778,943,179,216,75,98,35,48,2
2024-06-14,80287,34741,16604,76482,80163,33022,10306,28950,52944,14753,8777,545,3401,4633,2108,141,8279,6228,8145,6843,716,160,396,59,9,12,90
2024-06-15,40369,61635,85885,89164,82363,5118,15616,383,1112,13463,4569,1845,1353,4889,2173,478,898,7159,1769,3106,121,26,567,13,77,96,52
2024-06-16,17597,14213,82057,25910,34016,95620,66695,91089,19149,96769,6324,9371,9341,9350,2516,2437,5066,6839,9669,4629,254,366,156,70,32,96,81
2024-06-17,2,89539,65196,14242,36791,17465,17396,80834,74698,49217,1790,4909,3532,7588,8464,6230,8652,5138,853,7207,959,746,249,22,72,17,3
2024-06-18,74990,57985,77484,33052,81364,58674,12602,83695,31774,54774,166,1499,3561,9098,8561,3686,5040,9249,8868,3006,726,553,932,70,10,56,46
2024-06-19,37567,66937,25002,58693,3671,38466,76277,95589,54561,50911,5029,1256,4549,4432,4493,9241,1095,9179,4924,2507,657,14,523,55,42,78,89
2024-06-20,81439,72590,71945,14138,6355,6319,77494,79976,21958,83540,9583,1049,8833,9394,2519,9266,6072,151,4902,8572,683,444,632,17,4,40,68
2024-06-21,14296,22522,16413,77472,12845,4835,56642,3806,7785,15529,992,5547,1099,542,689,4519,8337,6728,9897,5595,389,51,276,11,52,17,61
2024-06-22,24362,36143,80759,88565,86584,84923,60925,16611,47432,94039,2964,1915,6706,171,7249,1179,3059,9636,8423,4066,803,59,596,70,87,10,1
2024-06-23,28501,82333,70755,12632,66679,45096,22032,3494,56778,44165,3608,4908,3979,2964,657,1605,8402,155,6459,6512,582,872,699,16,36,43,49
2024-06-24,50550,86177,52034,56446,52544,11561,60576,32221,80501,30750,2437,4567,4586,1462,8833,695,7341,326,4379,2475,429,580,654,34,12,75,20
2024-06-25,60082,56295,58871,42384,84336,74928,28100,89935,30350,15825,820,2356,9175,4416,3894,2168,8203,8200,97,9537,945,843,698,76,28,9,92
2024-06-26,4232,26980,29532,33792,67280,4565,83061,21327,79276,83284,923,5123,9710,6813,5810,5703,266,6712,3204,5681,111,422,211,63,83,79,24
2024-06-27,51599,63081,91970,36583,22101,19531,28466,47309,72116,36463,2523,2726,7970,3522,5389,5655,9126,6767,7107,9342,604,892,995,45,95,46,14
2024-06-28,71368,37047,84442,56225,69417,89059,36448,34054,31392,57409,9191,7866,2417,9124,8573,7683,6096,3534,6975,9627,151,127,565,4,84,18,82
2024-06-29,78049,78125,71354,56545,85530,1461,42672,62340,7705,214,9704,4925,3836,8243,823,8842,5739,5778,4241,8133,656,85,359,0,90,4,66
2024-06-30,44529,97547,44076,29381,58958,68481,51093,99106,23245,61102,9146,4482,7411,5298,3729,5174,5314,2979,6682,37,523,819,23,46,71,48,56
2024-07-01,94818,99104,66848,81867,29114,16778,90410,48586,20659,2222,4553,1012,7485,1902,7538,782,6890,7882,9282,1345,765,560,599,80,34,48,16
2024-07-02,77620,88861,54801,92539,11463,36752,40043,37731,63712,35521,6614,9843,4777,8339,5218,9736,989,8783,227,7844,994,721,669,95,74,89,7
2024-07-03,38889,19639,74829,23935,48357,14063,78216,78715,33303,96381,1394,1790,2246,2891,3366,7407,738,2832,1419,4853,616,970,897,1,3,63,53
2024-07-04,35313,32522,87802,39795,20698,79135,38543,17173,78806,52559,4027,8386,2406,1977,369,4367,4620,9320,8564,5971,208,138,426,78,36,28,89
2024-07-05,49735,38572,75146,20529,52668,94841,25676,79309,34126,5236,4465,9660,1757,8299,9724,8025,1801,150,831,9196,818,731,990,0,39,85,49
2024-07-06,30003,52054,21628,47381,82221,95329,76777,83556,62389,74592,2127,3240,7489,5748,5267,7920,7688,2529,1246,2007,884,437,996,13,8,61,51
2024-07-07,4973,13645,93758,80311,8269,95236,98299,5616,56763,84794,4486,1137,3800,678,9128,2626,814,1094,1692,1102,876,217,170,77,79,81,80
2024-07-08,40957,85011,44816,91475,68840,55189,96603,52328,78597,76511,449,2923,1956,5319,6126,1272,4973,2248,3055,9627,243,424,253,88,67,50,78
2024-07-09,9466,96676,8993,43413,29507,77142,13259,5159,48259,63945,7304,2001,8073,5968,8003,5504,2222,1252,1398,9231,955,966,994,72,78,73,48
2024-07-10,81994,86474,48793,91360,69884,98425,96213,61243,20422,8699,997,1763,2741,603,5526,1170,8547,6763,8576,4500,16,405,227,32,81,16,41
2024-07-11,91323,70916,94386,63833,66653,18383,37645,54139,56959,27652,6957,4102,1851,9729,4871,4705,5200,2632,8811,7332,352,707,121,33,65,99,87
2024-07-12,92619,11319,98199,29744,27067,11978,8680,33893,22152,71172,8758,2540,6325,1020,5737,7614,1159,3148,1769,5866,359,476,412,66,36,72,6
2024-07-13,83060,19484,61514,36996,86101,19920,67112,39937,28868,49815,2833,7276,5852,1955,1033,7782,6976,2853,8265,6672,365,270,589,35,84,82,97
2024-07-14,81707,44574,72831,5924,80549,29198,30206,65279,81970,38879,6754,7163,9094,7920,7959,6409,5695,810,4062,5469,754,323,701,20,99,33,18
2024-07-15,43030,44299,340,25339,7684,45118,22380,38063,77163,79753,4649,7841,5946,3334,6828,9681,9694,2252,3035,5230,700,124,697,67,41,66,81
2024-07-16,79496,54389,14879,99309,86301,2170,9978,47441,83209,10665,6962,797,5344,621,7766,2189,312,5850,5003,8386,359,794,639,45,12,60,22
2024-07-17,54959,56122,8873,94181,33815,2633,37770,24888,74383,61601,3300,4085,1347,9923,8985,1417,1636,5062,3791,1252,825,287,821,64,24,18,76
2024-07-18,12559,30645,80705,72880,70556,30055,15476,13776,52037,33922,4395,6731,7431,7487,1392,1973,1714,1977,669,1729,849,257,368,2,44,97,20
2024-07-19,23877,86129,43578,15885,32084,25652,61324,71720,61436,13632,924,5666,2745,9173,9598,8190,9399,3052,6707,5148,194,88,792,39,60,52,22
2024-07-20,1882,99877,69960,51715,775,91818,77152,62097,78145,22258,2336,9489,1404,9201,5165,4767,4964,9307,6772,9807,239,703,602,16,62,42,90
2024-07-21,10190,86296,33206,21,6696,79454,42036,15122,23654,78466,8027,5292,6605,9745,6881,2232,1351,6073,6580,3976,592,230,142,7,89,21,96
2024-07-22,15296,58122,60799,62033,15633,64138,8436,38621,63529,6321,6873,7712,316,8598,223,7765,6786,8202,9208,5748,423,428,102,54,11,44,13
2024-07-23,27364,85221,58789,29728,94591,25572,45486,38637,33134,77273,4241,7474,7744,3206,6520,6525,6540,6735,7199,3332,642,239,625,63,56,55,66
2024-07-24,96455,89697,36379,9332,60936,13546,50885,40173,78030,91900,2276,4811,5226,3349,8980,4510,4376,8659,5372,6414,383,263,489,80,92,66,18
2024-07-25,36097,80662,66715,42959,41016,47332,32456,4186,36199,92286,6873,7774,7866,2022,1523,3652,5902,8060,2696,5622,103,75,30,11,21,68,92
2024-07-26,16213,11867,38996,19224,3728,59868,96632,96243,8382,89155,8612,6589,9332,9787,6839,4122,3766,7299,7736,5816,726,321,774,37,66,47,70
2024-07-27,13341,86374,14079,51889,52772,29884,92816,44692,67192,80860,353,2683,5092,1219,9028,9428,3629,7390,9180,9994,647,470,668,50,22,97,96
2024-07-28,34789,17647,88016,26535,61489,23941,5751,95467,4322,72818,6838,1348,3369,8813,1565,3188,9911,7113,3902,1846,318,448,623,77,13,45,73
2024-07-29,49271,68791,39859,33215,68823,51655,47017,36432,26348,72711,1826,3957,9425,7722,8655,3814,1415,3246,6892,7606,740,823,211,19,49,59,8
2024-07-30,23394,84113,50779,35381,36704,84874,85576,57347,11130,5666,4847,2756,2890,7261,8020,1140,1296,6539,7919,8500,609,106,545,52,72,76,39
2024-07-31,52864,76707,48172,4139,84864,48114,21733,80920,24905,80492,9735,1926,669,9642,2712,9772,7606,2021,7140,7278,898,238,781,49,23,26,31
2024-08-01,98253,99523,56434,46732,4532,35135,86589,1612,13404,49646,6972,8496,7672,3166,8951,279,3596,4835,7383,2290,52,245,119,93,52,44,91
2024-08-02,52012,60255,13074,92914,18797,11554,82107,2265,94239,73087,8742,2665,288,7156,7701,7727,1973,6159,7337,4980,634,454,159,63,36,84,66
2024-08-03,60640,20450,17735,72800,47388,98016,59446,46241,99501,12197,483,1117,2541,4215,8102,850,9996,2026,3605,2468,225,27,998,49,3,55,1
2024-08-04,9486,29049,67013,68075,63007,47036,20124,84678,96314,11129,3208,8037,2037,8929,6632,1061,4412,4277,8906,6782,400,621,422,85,10,3,9
2024-08-05,82239,25739,93992,38897,89429,82825,5441,54136,6811,6423,1268,7133,7868,278,5746,6613,7850,2319,5675,8119,720,1,337,52,40,16,63
2024-08-06,482,68404,37057,35714,40117,99471,58536,51019,82419,39173,3915,6857,8559,7261,7008,3511,7369,2825,7612,3177,523,80,871,50,85,70,24
2024-08-07,26070,75119,92314,30217,84662,88767,50937,54672,28439,19830,4830,2671,948,21,6580,1962,2740,4949,1572,6887,917,817,689,8,39,7,76
2024-08-08,89282,97589,63574,84527,13604,94017,64504,71962,15940,16867,9591,7890,5500,4987,1077,9052,8257,2013,3362,1581,666,99,759,77,32,17,84
2024-08-09,92142,87433,67486,1696,80057,51681,52430,61574,67720,23797,6084,5112,7854,172,7204,552,4326,334,1214,3076,650,632,213,44,22,64,48
2024-08-10,63208,53905,4189,37098,9929,33521,20896,61390,99829,11440,3752,5634,3631,6238,1315,106,7522,562,7106,3131,772,946,549,38,92,80,91
2024-08-11,70580,85837,2039,11737,15327,23045,522,2137,6440,77143,1080,1582,5771,4009,3375,603,6390,4714,5368,8502,746,623,946,41,76,37,34
2024-08-12,79725,96344,91757,14244,45762,48313,72257,37432,58596,49965,4343,1726,5564,8173,2631,9876,1150,7119,2116,5892,852,907,667,9,8,28,75
2024-08-13,74922,34713,94828,75674,3806,43312,82294,14849,70990,4357,7372,7268,1307,8248,3704,5769,4535,1621,4408,1327,318,937,121,58,83,27,67
2024-08-14,34309,8185,16447,44337,31058,14794,94739,64622,8271,14823,5751,729,9228,2100,8169,7700,2272,8474,765,9485,909,897,592,64,80,44,22
2024-08-15,72146,89612,18043,94718,67923,97379,61644,43824,3936,84769,6749,1776,9956,482,4559,2241,5608,7139,8783,6014,796,867,539,45,83,56,89
2024-08-16,82327,87207,58978,66424,52741,48515,3307,35681,46004,6090,938,1704,1997,5256,9835,3221,3558,7606,420,9829,274,577,200,32,65,12,52
2024-08-17,4306,31074,74379,62688,17146,78210,36617,65733,34811,9093,7448,6578,3243,657,1270,5401,1633,9172,5748,8246,861,997,553,74,82,17,93
2024-08-18,54724,66680,68933,8469,80244,15151,8733,81986,18214,86248,3862,7568,9785,1780,3946,8958,6890,9414,8644,2013,288,815,296,46,45,61,76
2024-08-19,55025,2393,66349,9820,72604,56302,82322,90172,24813,30610,6221,6881,492,5583,6683,29,8625,1363,913,4603,96,277,362,67,56,64,86
2024-08-20,88443,97704,65963,67186,71709,81655,28110,35117,94738,68036,523,9019,7876,6535,2254,2337,4002,5215,99,5593,409,2,111,49,24,2,8
2024-08-21,67748,37183,51111,12749,98397,42136,82992,70946,32133,47671,5710,5194,6232,6639,2007,22,441,3592,5578,7243,762,391,212,42,70,29,45
2024-08-22,30817,17738,48311,69823,67221,95713,47609,98663,90707,92003,1081,4943,1445,3561,5588,6333,5536,4672,4594,8484,793,390,106,76,61,95,5
2024-08-23,22265,72127,83520,83018,68096,2291,84842,6968,9823,79349,4286,7286,9496,3978,1723,4818,3326,3360,9684,548,986,13,795,19,6,26,70
2024-08-24,74726,29756,4535,46371,78098,72991,76293,37100,41032,21951,6115,975,5800,5616,5813,1171,6003,5267,8673,7778,270,578,542,39,23,48,0
2024-08-25,24474,9816,99134,71107,45071,24213,39158,42692,50026,85685,436,7898,7403,710,7229,4662,3724,114,960,1297,259,290,842,54,31,80,23
2024-08-26,84826,35699,17983,65121,75387,36172,51465,61838,77905,24663,3069,281,5964,9503,8238,4682,1694,5373,5764,9331,804,432,934,95,0,83,66
2024-08-27,3880,57089,91985,71647,2431,3839,79797,83171,88936,33415,4536,3567,7384,1920,3558,410,2970,7294,888,858,563,266,406,56,34,11,82
2024-08-28,79623,19751,54735,77653,44013,86683,38810,59526,20260,22755,9504,2518,112,9152,5415,5581,7982,5072,5778,3806,479,549,845,24,43,20,54
