date,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2023-09-06,15269,98469,58959,81886,32925,78517,82116,72574,29546,87724,1861,3124,4876,278,8305,8781,9304,5924,8293,4248,989,746,484,95,32,1,30
2023-09-07,49956,86503,30149,91295,79898,88109,48412,53869,38343,84577,7509,5019,9362,1933,559,2748,4246,4497,3950,1919,57,38,963,48,12,14,78
2023-09-08,13676,24740,56012,32207,50515,81421,34783,31017,30582,37899,3520,313,6597,2690,5491,7633,7787,7739,294,9275,594,73,755,25,94,51,23
2023-09-09,35252,16451,69969,18026,68810,96008,18951,3293,30814,22188,3595,6413,8291,8579,4729,1428,1299,1711,8069,5240,46,773,149,51,81,69,78
2023-09-10,35902,31314,95602,40508,88800,91768,96669,72035,32840,2228,7304,9775,393,2766,9414,1229,3791,2810,9720,9332,840,864,219,40,66,26,22
2023-09-11,63768,7404,76409,96941,36081,69640,53912,46658,14279,54968,5802,8956,7809,3074,262,5994,3823,7323,3169,7052,598,735,736,93,87,75,0
2023-09-12,73132,7023,20680,11439,90823,34894,66864,31763,56916,32737,7532,1372,5554,4557,9339,3954,197,9470,3478,3924,827,958,726,3,31,52,10
2023-09-13,56650,37406,50515,25911,41234,89462,16592,53472,18697,36227,3240,6790,262,3750,3676,9266,7549,9781,1704,3680,405,446,442,49,45,59,21
2023-09-14,59722,39954,82710,3209,78624,32001,43234,62757,70781,81883,8076,8791,9056,768,6452,1096,3635,6305,6223,8703,457,589,380,92,33,70,38
2023-09-15,13720,8293,39853,99463,40902,18299,67472,71197,9602,98672,6266,7877,7531,1382,8533,8041,107,1775,2242,9568,692,139,713,0,90,14,61
2023-09-16,11724,98298,19917,53982,9894,85689,21669,68513,50670,77330,1580,7154,6751,2983,7989,174,4014,8953,5493,8885,459,607,700,95,97,40,99
2023-09-17,22365,80585,51233,18206,96019,28041,33335,84405,47766,56983,662,9764,3649,9731,9034,3966,3093,1775,7898,1925,266,316,572,97,50,53,24
2023-09-18,43104,28261,94697,54948,94817,46842,80937,93431,84038,68623,9898,3566,9576,3523,2967,8407,472,8087,2142,254,564,906,826,92,19,52,44
2023-09-19,50925,75781,95072,45895,41571,89042,12852,47456,818,62562,8894,5615,3165,5278,1942,7055,3612,4780,5138,3630,212,766,598,41,28,85,40
2023-09-20,40303,10239,54210,50718,43807,58233,34307,28734,80115,71208,5730,3813,6767,5531,634,364,2201,3711,5086,814,393,729,536,22,23,91,75
2023-09-21,52566,34841,51527,93225,11728,25151,80780,49217,55120,57854,466,4980,563,6846,6189,5380,9292,6703,4758,9247,104,794,694,64,63,21,91
2023-09-22,22714,66480,36490,79715,56683,54921,79449,80550,24952,86607,8307,1435,484,941,1863,675,5349,9969,1503,4197,826,983,510,80,0,67,31
